,Age,MP,Starts,Min,90s,Player,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasProg,PasAtt,PasCmp,Assists,PasAss,PPA,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDri,TklDriAtt,TklDri%,TklDriPast,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err,Touches,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,Fls,Fld,Off,AerWon,AerLost,AerWon%
2083,35,18,16,1324,14.7,Tomás Rincón,0,0.61,0.2,33.3,0.0,0.0,21.8,0.0,0.0,0.0,34.5,42.7,80.9,4.97,42.7,34.5,0.14,0.95,1.02,1.7,1.56,0.0,0.0,0.0,0.0,0.14,0.2,0.14,0.0,0.0,0.0,0.0,0.07,2.38,1.16,1.22,1.97,62.1,0.75,1.22,0.0,1.22,1.29,3.67,0.48,0.0,52.1,29.6,134.0,60.7,1.09,1.29,0.2,1.09,0.95,34.4,2.11,0.2,0.07,1.84,1.02,0.0,1.16,0.54,68.0
2084,35,4,3,331,3.7,Rémy Riou,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.4,33.5,84.7,0.27,33.5,28.4,0.0,0.0,0.0,0.27,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.27,0.27,100.0,0.0,0.0,0.0,0.0,0.0,0.27,0.54,0.0,35.9,24.9,97.0,54.9,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2085,29,19,11,1010,11.2,Renaud Ripart,3,2.77,0.98,35.5,0.1,0.27,16.2,0.0,0.0,0.0,21.6,31.4,68.8,3.13,31.4,21.6,0.09,1.61,0.8,3.04,2.05,0.0,0.18,0.45,0.36,0.0,0.63,0.18,0.0,0.09,0.18,0.18,0.0,2.77,1.79,1.25,3.13,40.0,1.88,1.43,0.0,1.43,0.54,3.3,0.36,0.0,46.8,33.2,194.4,77.5,1.96,1.07,0.63,2.32,1.61,32.9,6.79,0.27,0.0,2.05,1.88,0.36,3.04,4.46,40.5
2086,22,20,14,1271,14.1,Rodrigo Riquelme,3,2.41,0.92,38.2,0.09,0.23,20.3,0.07,0.0,0.0,19.5,27.8,70.2,3.76,27.8,19.5,0.07,1.13,1.42,2.48,2.13,0.0,0.21,0.0,0.14,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.71,0.07,0.28,1.35,21.1,1.06,0.71,0.0,0.71,0.35,1.06,0.07,0.0,40.1,27.2,236.7,125.8,4.4,3.55,1.56,2.91,1.21,29.9,6.38,0.0,0.0,1.21,1.56,0.28,0.35,0.78,31.3
2087,33,2,0,4,0.0,Matt Ritchie,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2088,31,12,5,544,6.0,Sergi Roberto,2,1.0,0.5,50.0,0.33,0.67,14.3,0.0,0.0,0.0,66.0,71.8,91.9,7.67,71.8,66.0,0.0,0.5,0.67,1.5,1.17,0.0,0.0,0.33,0.0,0.0,0.17,0.17,0.0,0.0,0.0,0.0,0.0,1.33,1.17,0.67,0.83,80.0,0.17,0.83,0.67,0.17,1.33,2.67,1.17,0.0,79.2,53.8,240.5,153.8,4.33,2.67,0.83,0.5,0.33,59.7,5.67,0.17,0.0,1.0,0.83,0.17,0.17,0.33,33.3
2089,25,20,19,1487,16.5,Lucas Robertone,1,1.39,0.3,21.7,0.04,0.2,24.6,0.18,0.0,0.0,32.7,42.7,76.6,4.67,42.7,32.7,0.18,1.76,1.33,3.7,2.48,0.85,0.0,0.12,0.18,0.06,0.36,0.24,0.12,0.0,0.0,0.0,0.0,1.58,1.03,0.73,1.82,40.0,1.09,1.64,0.24,1.39,1.52,3.09,1.15,0.0,53.6,27.6,133.2,67.3,1.21,1.45,0.12,1.58,0.42,34.6,3.58,0.3,0.0,1.45,2.67,0.18,0.73,1.27,36.4
2090,28,18,15,1322,14.7,Andrew Robertson,0,0.61,0.07,11.1,0.0,0.0,14.5,0.0,0.0,0.0,59.5,75.5,78.8,5.17,75.5,59.5,0.34,2.04,1.36,3.95,2.59,0.95,0.07,0.27,0.0,0.07,0.48,0.34,0.14,0.0,0.0,0.0,0.0,1.09,0.68,0.41,1.09,37.5,0.68,1.02,0.27,0.75,0.75,1.84,1.7,0.07,83.1,42.7,220.1,121.8,2.45,2.11,0.41,1.22,0.48,53.3,8.16,0.0,0.0,0.68,0.48,0.14,0.75,0.88,45.8
2091,25,20,20,1738,19.3,Antonee Robinson,0,0.05,0.0,0.0,0.0,0.0,27.8,0.0,0.0,0.0,39.5,53.9,73.3,3.78,53.9,39.5,0.0,0.67,1.24,1.92,1.81,0.05,0.05,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,1.61,0.93,1.09,1.3,84.0,0.21,1.76,0.52,1.24,1.4,3.01,2.38,0.05,64.2,32.4,222.0,132.0,3.37,2.85,0.47,1.24,0.62,34.2,3.83,0.26,0.0,0.83,0.62,0.1,1.09,0.83,56.8
2092,17,4,0,67,0.7,Joel Roca,0,2.86,0.0,0.0,0.0,0.0,16.2,0.0,0.0,0.0,32.9,44.3,74.2,1.43,44.3,32.9,0.0,1.43,0.0,4.29,2.86,0.0,0.0,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86,2.86,2.86,5.71,50.0,2.86,0.0,0.0,0.0,0.0,2.86,1.43,0.0,78.6,50.0,270.0,91.4,1.43,1.43,1.43,5.71,2.86,52.9,18.6,1.43,0.0,1.43,5.71,0.0,0.0,0.0,0.0
2093,26,20,19,1461,16.2,Marc Roca,1,0.93,0.37,40.0,0.07,0.17,21.8,0.06,0.0,0.0,40.9,53.2,76.8,7.1,53.2,40.9,0.06,1.05,0.68,1.54,1.17,0.25,0.0,0.0,0.06,0.06,0.12,0.06,0.0,0.0,0.0,0.06,0.0,2.53,1.67,0.68,2.04,33.3,1.36,1.3,0.43,0.86,1.17,3.7,0.93,0.0,64.0,35.2,157.3,83.5,0.99,0.86,0.25,0.93,0.74,40.4,0.93,0.25,0.0,1.23,0.93,0.0,0.8,0.62,56.5
